window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,409,2,185,13110,0,25801,21945,1.175712,0,0,1.000000
1,200001,400001,0,0,1,1010,1,664,13209,0,26313,22336,1.178053,0,0,1.000000
2,400001,600001,0,0,0,1878,1,1271,14999,0,29485,25313,1.164816,0,0,1.000000
3,600001,642966,0,0,0,508,94,390,3277,0,6482,5623,1.152765,0,0,1.000000
4,642966,800001,0,0,49,336,35,167,1447,0,333312,131676,2.531304,5870,5790,1.013817
5,800001,1000001,0,0,112,222,147,458,1701,0,386370,165943,2.328330,9390,9328,1.006647
6,1000001,1200001,0,0,110,321,271,296,1555,0,360533,165579,2.177408,9980,9688,1.030140
7,1200001,1400001,0,0,76,286,408,460,1396,0,341676,167250,2.042906,12292,12051,1.019998
8,1400001,1600001,0,0,190,340,241,316,1559,0,349027,164785,2.118075,210870,200000,1.054350
9,1600001,1800001,0,0,97,230,3,130,1069,0,221042,93216,2.371288,204600,200000,1.023000
10,1800001,2000001,0,0,0,163,0,129,852,0,152615,61270,2.490860,202920,200000,1.014600
11,2000001,2200001,0,0,0,207,0,49,799,0,163701,70231,2.330894,202560,200000,1.012800
12,2200001,2400001,0,0,0,214,0,49,842,0,161767,61569,2.627410,202630,200000,1.013150
13,2400001,2600001,0,0,0,146,0,252,844,0,154833,60618,2.554241,203980,200000,1.019900
14,2600001,2800001,0,0,0,93,0,198,843,0,161419,61807,2.611662,202910,200000,1.014550
15,2800001,3000001,0,0,0,101,0,137,798,0,159149,69289,2.296887,202380,200000,1.011900
16,3000001,3200001,0,0,0,111,0,92,803,0,165370,69495,2.379596,202030,200000,1.010150
17,3200001,3400001,0,0,0,125,0,39,824,0,162439,65320,2.486819,201640,200000,1.008200
18,3400001,3600001,0,0,0,32,1,82,815,0,160180,66170,2.420734,201150,200000,1.005750
19,3600001,3800001,0,0,0,13,0,36,849,0,156687,61982,2.527944,200490,200000,1.002450
20,3800001,4000001,0,0,0,28,0,27,836,0,157705,60812,2.593320,200550,200000,1.002750
21,4000001,4200001,0,0,0,5,0,27,836,0,160750,62864,2.557107,200320,200000,1.001600
22,4200001,4400001,0,0,0,3,0,9,840,0,161045,61183,2.632185,200120,200000,1.000600
23,4400001,4600001,0,0,0,1,0,15,832,0,157825,59677,2.644654,200160,200000,1.000800
24,4600001,4800001,0,0,0,25,0,8,848,0,159141,62000,2.566790,200330,200000,1.001650
25,4800001,5000001,0,0,0,1,0,0,823,0,159173,63965,2.488439,200010,200000,1.000050
26,5000001,5200001,0,0,0,0,0,0,805,0,158748,69695,2.277753,200000,200000,1.000000
27,5200001,5400001,0,0,0,18,0,0,793,0,157750,69305,2.276171,200180,200000,1.000900
28,5400001,5600001,0,0,0,7,0,0,812,0,159684,67405,2.369023,200070,200000,1.000350
29,5600001,5635301,0,0,0,0,0,0,147,0,26071,9688,2.691061,35300,35300,1.000000
